c5large_size_arr,c5large_num_proc,c5large_time_avg,c5large_time_std,c5large_cpu_ut_avg,c5large_cpu_ut_std,c5xlarge_size_arr,c5xlarge_num_proc,c5xlarge_time_avg,c5xlarge_time_std,c5xlarge_cpu_ut_avg,c5xlarge_cpu_ut_std,c52xlarge_size_arr,c52xlarge_num_proc,c52xlarge_time_avg,c52xlarge_time_std,c52xlarge_cpu_ut_avg,c52xlarge_cpu_ut_std,r5large_size_arr,r5large_num_proc,r5large_time_avg,r5large_time_std,r5large_cpu_ut_avg,r5large_cpu_ut_std,r5xlarge_size_arr,r5xlarge_num_proc,r5xlarge_time_avg,r5xlarge_time_std,r5xlarge_cpu_ut_avg,r5xlarge_cpu_ut_std,r52xlarge_size_arr,r52xlarge_num_proc,r52xlarge_time_avg,r52xlarge_time_std,r52xlarge_cpu_ut_avg,r52xlarge_cpu_ut_std,m5large_size_arr,m5large_num_proc,m5large_time_avg,m5large_time_std,m5large_cpu_ut_avg,m5large_cpu_ut_std,m5xlarge_size_arr,m5xlarge_num_proc,m5xlarge_time_avg,m5xlarge_time_std,m5xlarge_cpu_ut_avg,m5xlarge_cpu_ut_std,m52xlarge_size_arr,m52xlarge_num_proc,m52xlarge_time_avg,m52xlarge_time_std,m52xlarge_cpu_ut_avg,m52xlarge_cpu_ut_std,m54xlarge_size_arr,m54xlarge_num_proc,m54xlarge_time_avg,m54xlarge_time_std,m54xlarge_cpu_ut_avg,m54xlarge_cpu_ut_std
1,1,0.001974606514,0.0004886682178,7.5,23.84848004,1,1,0.002565598488,0.0006197194681,8.75,27.12816802,1,1,0.00241727829,0.0003720267007,1.875,12.35857496,1,1,0.002109289169,0.0004899612365,12.5,31.12474899,1,1,0.0025421381,0.0003888899848,5,21.79449472,1,1,0.002529215813,0.0003633637133,6.25,24.20614591,1,1,0.003020501137,0.0007643145556,30,45.82575695,1,1,0.002229499817,0.0003736069009,5,21.79449472,1,1,0.002365851402,0.0003615580366,6.25,24.20614591,1,1,0.002384114265,0.0003560767718,0.9375,8.788975694
1,2,0.002731275558,7.36E-05,25,43.30127019,1,2,0.002808094025,0.0001733874262,10,30,1,2,0.00283343792,0.0001211784822,5,21.79449472,1,2,0.002940297127,5.87E-05,25,43.30127019,1,2,0.002873826027,0.0001244778378,12.5,33.07189139,1,2,0.00295484066,8.65E-05,6.25,22.87875652,1,2,0.004226636887,0.000769574585,45,49.74937186,1,2,0.002712774277,0.0001390376452,15,35.70714214,1,2,0.002817177773,8.17E-05,11.25,31.59806165,1,2,0.002892398834,4.17E-05,4.0625,19.34221016
1,4,0.005024886131,4.04E-05,47.5,48.66980583,1,4,0.004705715179,0.0001911091351,21.25,38.54785986,1,4,0.004618692398,0.0002126589428,9.375,27.49289681,1,4,0.005413460732,4.68E-05,38.335,47.46443168,1,4,0.004908013344,0.0002304115203,22.5,41.75823272,1,4,0.004524707794,0.0001574656439,10,27.83882181,1,4,0.008209228516,0.001831130176,65,47.69696007,1,4,0.004985904694,0.0003740352462,36.25,47.41769185,1,4,0.004600763321,0.0001642212912,15.625,34.08972536,1,4,0.004353833199,4.92E-05,4.0625,19.34221016
1,8,0.01027588844,0.001023466357,83.335,35.74524129,1,8,0.008721852303,0.0006050481408,42.5,45.4835135,1,8,0.008367753029,0.0006672280349,16.875,33.48857081,1,8,0.01110599041,0.000992772,93.335,22.6058018,1,8,0.009064912796,0.0006229114449,40,45,1,8,0.008582830429,0.0005095861574,20.625,36.8219958,1,8,0.01705226898,0.004070272528,95,21.79449472,1,8,0.009233283997,0.0011289843,66.25,45.25966748,1,8,0.008331727982,0.0005259776779,33.75,44.56385867,1,8,0.00796713829,0.0004325945593,12.1875,30.48917585
1,16,0.02007906437,0.0002427757061,98.335,7.257566741,1,16,0.01602957249,0.0004678417186,67.085,32.16437898,1,16,0.01573662758,0.0001647238018,27.29125,34.68699754,1,16,0.02206447124,0.0003858103923,96.67,9.99,1,16,0.01676232815,0.0005165709782,66.255,34.85840609,1,16,0.01628863811,0.0002518515845,29.78875,32.77689733,1,16,0.0318726778,0.002784739102,97.75,6.79613861,1,16,0.01654081345,0.0005083383329,93.335,16.1561838,1,16,0.01534044743,0.000235746098,38.4375,37.58115676,1,16,0.01466321945,0.0001107664083,14.26875,27.50151629
1,20,0.02540318966,0.0004334073902,97.085,8.842922311,1,20,0.02002179623,0.000380698083,67.5025,28.12514433,1,20,0.02008535862,0.0002295707837,29.995,32.21102645,1,20,0.02810719013,0.0003254647902,100,0,1,20,0.02076234818,0.0005145266961,71.675,29.39151876,1,20,0.0199362278,0.0002535068595,29.99375,32.74502002,1,20,0.0498254776,0.00447250857,98.165,5.529672233,1,20,0.02058017254,0.0005461014714,93.7525,15.219576,1,20,0.01912631989,0.0002263684707,42.49875,38.36333371,1,20,0.01818544865,0.0001237232114,13.64125,26.47194125
2,1,0.001658558846,3.81E-05,5,21.79449472,2,1,0.002144742012,6.54E-05,2.5,15.612495,2,1,0.002183055878,6.31E-05,1.25,11.11024302,2,1,0.001852440834,4.50E-05,15,35.70714214,2,1,0.002246332169,0.0001011136989,5,21.79449472,2,1,0.002249264717,0.0001119805874,3.75,18.99835519,2,1,0.002477455139,4.68E-05,30,45.82575695,2,1,0.002169299126,0.0002239004617,13.75,33.51771919,2,1,0.002099895477,7.62E-05,7.5,26.33913438,2,1,0.002170085907,3.64E-05,1.5625,11.7551518
2,2,0.002771663666,9.01E-05,25,43.30127019,2,2,0.00281522274,8.75E-05,11.25,30.59309563,2,2,0.002918410301,0.0001421183152,8.75,27.12816802,2,2,0.003002953529,5.04E-05,25,43.30127019,2,2,0.002917361259,5.74E-05,8.75,27.12816802,2,2,0.003024816513,3.88E-05,8.75,27.12816802,2,2,0.004820919037,0.0005048362979,55,49.74937186,2,2,0.002945971489,0.000294962001,16.25,36.03383826,2,2,0.002846908569,5.07E-05,10.625,30.30444481,2,2,0.002871251106,2.46E-05,3.125,17.39926363
2,4,0.005090332031,4.03E-05,55,49.74937186,2,4,0.004680752754,0.0001336879645,22.5,40.23369235,2,4,0.004725670815,0.000241577805,12.5,33.07189139,2,4,0.005568933487,4.40E-05,43.335,48.42026719,2,4,0.004910612106,0.0001842013734,26.25,43.28322423,2,4,0.004608130455,0.0001642796209,11.25,30.59309563,2,4,0.00997107029,0.001000298303,85,35.70714214,2,4,0.005057406425,0.0002599236255,37.5,47.1036092,2,4,0.004642271996,0.0001244941576,16.25,36.89088641,2,4,0.004388475418,3.38E-05,6.25,22.87875652
2,8,0.01016032696,0.0001048438619,80,40,2,8,0.008596873283,0.0002413980861,43.75,46.35124054,2,8,0.008381032944,0.0001688533568,18.125,32.82886497,2,8,0.01097838879,6.95E-05,92.5,23.84848004,2,8,0.009016704559,0.0003187348922,43.75,47.68057781,2,8,0.008580803871,0.0001135338284,20.20875,35.22736931,2,8,0.02023615837,0.002205538862,100,0,2,8,0.008895468712,0.0005294436265,67.5,45.4835135,2,8,0.008394265175,0.0002012857365,28.33375,40.34612417,2,8,0.007910346985,7.26E-05,9.6875,26.51466281
2,16,0.02076413631,0.0004333455647,96.67,9.99,2,16,0.01611456871,0.0004852416519,59.17,39.60808125,2,16,0.01602048874,0.0003391320344,25.415,33.22641306,2,16,0.02208561897,0.0003450830816,96.67,9.99,2,16,0.01669480801,0.0004403131521,64.5875,36.36022681,2,16,0.01616928577,0.0002786684136,27.60125,33.99281356,2,16,0.03007605076,0.002769542531,98.75,5.448623679,2,16,0.0159662962,0.0004888080856,88.335,25.8722298,2,16,0.01552906036,0.0003539516359,42.2925,40.22140219,2,16,0.01477975845,0.0001235879587,13.019375,26.65747432
2,20,0.02529506683,0.0002950879082,100,0,2,20,0.02030994892,0.0005671917109,65.005,28.57767442,2,20,0.02005996704,0.0002242776645,31.03375,32.03107844,2,20,0.02775449753,0.0005301322195,97.085,8.842922311,2,20,0.02075653076,0.000585995569,65.6325,33.86000877,2,20,0.02014803886,0.0002227500778,29.16125,32.32963228,2,20,0.0394340992,0.004076672918,98.75,5.448623679,2,20,0.02036049366,0.0008123045863,94.795,12.72485658,2,20,0.01967694759,0.0004144713378,43.12375,37.8884786,2,20,0.01836228371,9.96E-05,13.74625,26.32039107
4,1,0.001718878746,4.77E-05,7.5,23.84848004,4,1,0.002145409584,0.0001083354846,6.25,22.87875652,4,1,0.002216601372,0.0001216049025,2.5,15.612495,4,1,0.001892352104,5.68E-05,10,30,4,1,0.002290320396,8.02E-05,12.5,33.07189139,4,1,0.002314996719,4.07E-05,2.5,15.612495,4,1,0.002501487732,0.0001418051497,25,43.30127019,4,1,0.002179503441,0.0001721356466,12.5,33.07189139,4,1,0.002273344994,0.00016764707,5,21.79449472,4,1,0.002207350731,4.51E-05,1.875,13.56408401
4,2,0.002866649628,4.78E-05,30,45.82575695,4,2,0.002928924561,0.000200912008,15,35.70714214,4,2,0.003017067909,9.90E-05,6.25,22.87875652,4,2,0.003118920326,3.89E-05,27.5,43.22904116,4,2,0.002974414825,0.0001028285926,7.5,26.33913438,4,2,0.003079557419,3.39E-05,5,21.79449472,4,2,0.004898023605,0.0005150929398,55,49.74937186,4,2,0.003640222549,0.0005829177632,30,44.44097209,4,2,0.003271436691,0.000217386818,14.375,33.7210524,4,2,0.002922773361,4.08E-05,3.4375,16.88367832
4,4,0.005314207077,4.41E-05,47.5,48.66980583,4,4,0.004849934578,0.000166406141,22.5,40.23369235,4,4,0.004648590088,0.0003155008867,12.5,32.11308145,4,4,0.006012058258,0.0001952417649,55,49.74937186,4,4,0.005299806595,0.0002262400367,33.75,46.6201405,4,4,0.004743742943,0.0002509967498,12.5,31.12474899,4,4,0.00977833271,0.002258438044,65,47.69696007,4,4,0.005262875557,0.0002992516083,30,44.44097209,4,4,0.004817938805,0.0002491477448,16.875,36.1798891,4,4,0.00447473526,4.19E-05,5.625,22.35194343
4,8,0.01078124046,0.0002098495486,75,40.31128874,4,8,0.008905506134,0.0002441823261,42.5,46.83748499,4,8,0.008486914635,0.0001700865193,20,35.88175024,4,8,0.01179652214,0.0001114253661,90,25.49509757,4,8,0.009201741219,0.0002196586599,44.585,45.24513537,4,8,0.008652091026,0.0002376365771,23.33375,37.23099832,4,8,0.02038412094,0.003274475517,98.335,7.257566741,4,8,0.008523321152,0.0004532016259,53.75,46.6201405,4,8,0.008529305458,0.0003927798478,30,42.27883631,4,8,0.007970929146,7.07E-05,11.5625,30.21892774
4,16,0.02169079781,0.0002845158062,97.085,8.842922311,4,16,0.01637451649,0.0003696690648,62.0875,40.48152163,4,16,0.015671134,0.0003427318987,29.9975,34.39937127,4,16,0.02310163975,0.0003906321486,96.67,9.99,4,16,0.01696469784,0.0004448450043,67.085,34.05212585,4,16,0.01637587547,0.000256197026,27.08125,33.1640773,4,16,0.03900661469,0.004164700467,100,0,4,16,0.01706061363,0.0003084260405,90,23.21517822,4,16,0.01554841995,0.0004428770857,42.5,40.38873605,4,16,0.01489896774,0.000114171924,13.435,27.03317453
4,20,0.02675697803,0.0002847186935,98.75,5.448623679,4,20,0.02036166191,0.0004289108359,63.755,30.48078042,4,20,0.01952998638,0.0003584772997,29.9925,32.53255206,4,20,0.02894918919,0.0003680862596,97.75,6.79613861,4,20,0.02059805393,0.000337478568,75.6325,27.0896695,4,20,0.02047386169,0.0002206452646,30.3025,31.98374968,4,20,0.04807150364,0.006719995784,100,0,4,20,0.02167301178,0.001399664379,94.795,12.72485658,4,20,0.01920595169,0.0005088032149,42.7075,39.0752504,4,20,0.01845965385,0.0002309210948,15.516875,27.51825808
8,1,0.002159881592,4.24E-05,17.5,36.31459762,8,1,0.002522754669,8.58E-05,7.5,26.33913438,8,1,0.002676844597,7.62E-05,3.75,17.2753437,8,1,0.002325320244,3.59E-05,17.5,36.31459762,8,1,0.002816677094,8.77E-05,5,21.79449472,8,1,0.002775669098,6.66E-05,6.25,24.20614591,8,1,0.00360891819,5.31E-05,50,50,8,1,0.002895283699,0.0004707779002,21.25,40.1364859,8,1,0.002663803101,3.63E-05,5.625,22.35194343,8,1,0.002714705467,4.36E-05,2.8125,16.05349942
8,2,0.003500366211,3.04E-05,27.5,43.22904116,8,2,0.003253626823,9.55E-05,15,35.70714214,8,2,0.003391504288,6.46E-05,5,20.31009601,8,2,0.003815746307,3.75E-05,25,43.30127019,8,2,0.003585219383,0.0001446732602,17.5,36.31459762,8,2,0.003547358513,3.87E-05,8.75,28.25663639,8,2,0.007026553154,0.0008403845652,65,47.69696007,8,2,0.004293346405,0.0005652142767,37.5,47.1036092,8,2,0.003603386879,0.0001997056426,13.125,32.34941074,8,2,0.00339744091,2.20E-05,2.5,15.612495
8,4,0.007280302048,3.67E-05,65,47.69696007,8,4,0.005516672134,0.000153376034,27.5,41.75823272,8,4,0.004981517792,0.0003213292182,13.125,32.34941074,8,4,0.008052229881,5.03E-05,57.5,48.15340071,8,4,0.005935788155,0.0001616121794,26.25,41.81432171,8,4,0.005298900604,0.0003283786581,8.75,24.71714992,8,4,0.01245975494,0.0012470728,95,21.79449472,8,4,0.006322932243,0.0007517796554,45,47.16990566,8,4,0.00568921566,0.0002679352628,21.25,40.1364859,8,4,0.00485291481,9.63E-05,5.3125,19.84067397
8,8,0.01368970871,0.0001046673746,92.5,23.84848004,8,8,0.009695720673,0.0003724564756,50.4175,44.7972984,8,8,0.009034204483,0.0003460444874,21.25,35.15590278,8,8,0.01508066654,0.0001923780722,95,15,8,8,0.01020436287,0.0003470873535,57.5,45.4835135,8,8,0.009453463554,0.000209938303,25,36.22844187,8,8,0.02834513187,0.000948377104,100,0,8,8,0.01163620949,0.0004182915979,82.085,34.23444574,8,8,0.009817028046,0.0006900737304,35,42.13074887,8,8,0.008415603638,7.93E-05,12.8125,30.74434653
8,16,0.02780275345,0.0003151454585,97.335,8.266938672,8,16,0.01752963066,0.000339155389,84.5875,24.26038115,8,16,0.01689972878,0.0004508247853,32.0825,33.72506403,8,16,0.03103613853,0.0002641361954,97.5,7.5,8,16,0.01890785694,0.000599218815,85.8375,23.72835527,8,16,0.01751718521,0.0002231183228,33.1225,33.3867937,8,16,0.05591206551,0.002425577422,100,0,8,16,0.02112646103,0.001009601522,96.2525,11.47270647,8,16,0.01676871777,0.0006185671542,45.625,39.33154745,8,16,0.01550312042,0.0002825468957,15.31,27.19183057
8,20,0.03454940319,0.0003924561447,100,0,8,20,0.02186684608,0.000583462327,86.255,19.58720182,8,20,0.0211648941,0.0004077858993,34.785,30.75582506,8,20,0.03790407181,0.0003243908994,97.75,6.79613861,8,20,0.02274489403,0.0008270617759,87.5075,17.66883397,8,20,0.02167415619,0.0002689081712,36.4525,30.51855573,8,20,0.06179273129,0.009305448085,98.165,5.529672233,8,20,0.0264182806,0.0009548037043,95.335,11.72315124,8,20,0.02068333626,0.0003341762067,47.60375,40.03645665,8,20,0.0193580389,0.0004093700914,18.848125,27.20010334
16,1,0.005480837822,5.36E-05,27.5,43.22904116,16,1,0.005927586555,8.79E-05,12.5,33.07189139,16,1,0.005968260765,5.81E-05,9.375,28.60698123,16,1,0.006042408943,3.55E-05,25,43.30127019,16,1,0.006453275681,0.0001141385714,20,40,16,1,0.006466174126,6.82E-05,6.25,24.20614591,16,1,0.01074039936,0.0005871510222,95,21.79449472,16,1,0.006265759468,8.42E-05,31.25,45.67206477,16,1,0.006327462196,9.78E-05,15,34.82097069,16,1,0.006395983696,8.48E-05,3.125,16.47678291
16,2,0.01063683033,0.0001052831961,85,32.01562119,16,2,0.006614494324,0.0001432251984,30,44.44097209,16,2,0.006783819199,9.30E-05,11.25,29.55397604,16,2,0.01180033684,6.31E-05,95.835,12.77095435,16,2,0.007245206833,0.0001167672462,30,44.44097209,16,2,0.007223200798,9.87E-05,15.625,34.9944192,16,2,0.02094619274,0.0007018547978,100,0,16,2,0.01168944836,0.0001234568813,54.585,46.69499197,16,2,0.007085490227,0.0001332116121,21.25,39.3501906,16,2,0.007039666176,8.68E-05,6.25,24.20614591
